Time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ
193517,-0.07,-0.45,1.00,-4.94,8.79,-12.15,,,
194110,0.09,-0.79,0.99,-107.79,-281.13,231.14,,,
194747,0.22,-0.41,1.28,-216.92,-26.18,-81.73,,,
195340,-0.14,-0.64,0.79,30.33,-30.33,-18.80,,,
195934,-0.09,-0.62,0.81,-1.95,1.16,-0.06,,,
196527,-0.08,-0.63,0.81,-2.38,-1.10,1.34,,,
197119,-0.08,-0.66,0.79,-11.41,-10.44,-1.83,,,
197712,-0.06,-0.69,0.75,-5.13,22.34,-19.59,,,
198305,-0.05,-0.70,0.75,0.37,0.61,-0.67,,,
198907,-0.26,-0.69,0.71,45.41,53.65,-33.39,,,
199500,-0.03,-0.59,0.77,4.58,1.10,-3.11,,,
200094,-0.04,-0.68,0.76,-6.71,5.49,-3.91,,,
200686,-0.04,-0.70,0.75,3.11,22.16,-6.29,,,
201279,-0.13,-0.64,0.82,16.17,5.49,-3.23,,,
201916,-0.16,-0.48,0.85,19.71,5.25,-18.49,,,
202509,-0.18,-0.43,0.95,19.96,-9.64,4.64,,,
203103,-0.16,-0.30,0.97,26.18,-7.51,3.66,,,
203695,-0.14,-0.40,0.94,3.66,0.06,-2.20,,,
204287,-0.16,-0.12,1.11,50.05,11.23,8.36,,,
204880,-0.23,-0.52,0.86,-83.25,-15.56,35.83,,,
205482,-0.09,-0.67,0.99,40.89,-21.18,-12.27,,,
206076,-0.19,-0.58,0.85,2.62,41.44,-13.00,,,
206669,-0.06,-0.58,0.78,42.66,5.13,-15.44,,,
207262,-0.12,-0.25,0.93,51.70,-40.83,35.58,,,
207855,-0.05,-0.47,0.93,-26.37,-31.13,57.68,,,
208448,-0.03,-0.59,0.89,-55.91,1.83,-47.85,,,
209084,-0.19,-0.91,0.44,2.62,3.91,-1.40,,,
209676,-0.17,-0.90,0.47,3.17,5.80,-2.44,,,
210270,0.07,-0.95,0.36,-11.05,7.57,-14.89,,,
210863,0.11,-0.99,0.42,6.23,2.62,-8.18,,,
211456,0.06,-0.78,0.63,16.42,-12.15,15.81,,,
212057,0.09,-0.77,0.70,-1.53,-4.15,-7.75,,,
212650,0.13,-0.77,0.69,-3.23,4.58,-2.93,,,
213243,0.43,-0.82,0.26,31.01,-15.56,58.23,,,
213836,-0.01,-0.47,0.79,-34.97,4.39,54.50,,,
214430,0.09,-0.64,0.82,-4.03,3.54,3.11,,,
215022,0.05,-0.66,0.78,-3.05,0.67,-1.65,,,
215614,0.04,-0.68,0.77,-0.49,-1.04,0.92,,,
216250,0.04,-0.67,0.75,-3.17,-0.55,-0.61,,,
216842,0.04,-0.70,0.76,-1.65,-0.18,-0.06,,,
217436,0.05,-0.74,0.79,-24.29,24.84,-30.21,,,
218029,-0.14,-0.77,0.58,19.29,24.96,-49.01,,,
218631,-0.06,-1.05,0.34,-42.79,53.96,21.30,,,
219224,-0.03,-0.98,0.11,-1.95,-12.45,-2.38,,,
219816,-0.15,-0.99,0.10,-1.40,3.11,-1.28,,,
220410,0.00,-1.02,-0.04,0.67,8.12,-16.42,,,
221002,0.22,-0.87,-0.13,40.53,-150.15,43.33,,,
221596,-0.14,-0.97,0.20,-4.46,1.46,-3.66,,,
222188,-0.05,-0.99,0.23,0.06,-4.21,-0.31,,,
222824,-0.04,-0.97,0.23,7.93,-3.91,-2.44,,,
223417,-0.02,-0.97,0.29,-1.04,0.18,-0.79,,,
224009,-0.02,-0.97,0.27,0.00,0.37,-1.16,,,
224602,-0.05,-0.91,0.40,-0.61,-1.46,7.20,,,
225204,-0.04,-0.93,0.41,-0.31,-2.87,-1.89,,,
225797,-0.04,-0.93,0.41,-0.61,2.93,0.98,,,
226389,-0.05,-0.91,0.39,9.09,15.01,-13.92,,,
226982,-0.01,-0.93,0.42,0.49,0.31,-0.06,,,
227576,-0.00,-0.94,0.43,2.56,-3.85,2.08,,,
228168,-0.00,-0.93,0.42,-2.93,0.98,-0.18,,,
228762,-0.19,-0.73,0.87,122.56,-62.44,7.02,,,
229355,0.49,-0.98,0.72,265.14,95.83,197.02,,,
229991,-1.10,-3.37,-3.01,-236.88,-189.09,50.72,,,
230585,0.42,-0.50,0.57,104.43,152.53,260.07,,,
231178,0.98,-0.86,3.22,183.29,-1.46,179.69,,,
231781,0.70,-0.36,0.51,-302.12,-170.17,67.93,,,
232374,0.27,-0.36,1.72,170.29,-108.83,106.38,,,
232968,-0.34,-0.57,1.23,615.30,42.48,-88.56,,,
233562,-0.21,-0.41,0.32,-350.77,-6.96,-216.49,,,
234155,0.24,-1.32,2.40,249.02,256.04,-225.83,,,
234749,1.06,-0.84,0.00,129.76,-152.04,388.67,,,
235343,0.93,0.17,1.23,375.00,-36.07,-184.08,,,
235937,0.42,-0.52,1.02,-28.38,54.26,60.91,,,
236530,0.73,-0.37,0.95,222.17,-14.65,72.14,,,
237167,1.06,-0.43,1.13,130.07,203.00,119.81,,,
237769,0.33,-0.89,1.07,309.33,-99.73,-45.47,,,
238362,0.23,-0.51,0.92,-64.33,23.32,45.10,,,
238956,0.50,-0.86,0.52,20.75,-24.29,6.77,,,
239549,0.53,-0.79,0.50,-12.21,-24.48,-28.38,,,
240143,0.34,-0.82,0.61,-3.30,14.04,9.40,,,
240736,0.41,-0.78,0.58,-1.16,-15.32,10.99,,,
241328,0.40,-0.81,0.51,-2.08,5.62,-5.49,,,
241922,0.40,-0.73,0.72,-18.19,35.03,-42.18,,,
242515,0.24,-0.74,0.61,2.26,-5.98,-13.67,,,
243109,0.23,-0.71,0.73,34.18,-3.48,16.72,,,
243701,0.21,-0.62,0.79,10.56,1.28,-7.81,,,
244347,0.29,-0.59,0.79,-0.55,-58.96,55.91,,,
244940,0.28,-0.47,0.89,29.72,-88.32,66.59,,,
245533,0.41,-0.49,0.90,24.41,-29.72,41.26,,,
246127,0.29,-0.64,0.76,43.09,-22.89,70.86,,,
246720,0.07,-0.75,0.80,-46.08,128.30,-80.99,,,
247314,0.28,-0.84,0.74,24.29,-20.94,16.91,,,
247907,0.15,-0.85,0.59,-14.34,43.27,-85.82,,,
248500,0.12,-0.62,1.04,110.72,70.31,-34.91,,,
249093,0.87,-2.01,-0.45,-413.76,178.83,-109.38,,,
