Time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ
147118,-0.08,-9.50,3.32,-0.07,0.03,0.02,-31.25,37.31,-62.41
148191,-0.49,-9.10,3.34,-0.62,0.35,0.67,-29.98,37.30,-61.63
149264,-0.25,-9.85,1.62,0.11,0.26,-0.09,-32.71,39.97,-62.93
150337,1.89,-6.76,-2.73,4.18,7.15,1.44,-46.97,41.39,-69.83
151410,-1.04,-9.66,3.66,0.10,-0.22,-0.08,-35.15,37.07,-65.27
152483,-0.73,-9.35,3.50,-0.02,-0.32,0.07,-54.55,36.64,-70.32
153602,-0.51,-9.28,3.22,-0.04,-0.20,0.07,-59.60,38.70,-70.39
154675,-0.72,-9.47,3.06,-0.04,-0.03,0.01,-63.93,40.53,-69.18
155748,-0.66,-9.50,2.79,-0.03,-0.17,0.09,-65.89,41.19,-67.25
156821,-0.81,-9.18,4.54,0.27,0.47,0.07,-38.97,32.97,-68.88
157894,-2.57,-8.86,4.23,-0.23,0.52,-0.37,-26.78,32.29,-56.84
158967,-2.12,-9.07,2.75,-0.32,-0.44,-0.05,-29.00,32.77,-59.21
160040,-2.10,-8.59,4.16,0.16,-0.13,-0.06,-32.27,30.21,-62.23
161113,-1.12,-8.73,4.18,0.02,0.03,0.02,-31.12,32.24,-62.16
162186,-1.07,-8.99,4.14,0.01,0.08,-0.08,-29.80,33.24,-60.83
163262,-0.78,-8.85,4.24,0.09,-0.11,0.05,-29.28,33.43,-60.51
164335,-0.93,-8.84,4.49,0.04,0.01,0.03,-29.82,33.31,-60.89
165451,-0.85,-8.60,4.66,0.13,-0.08,-0.00,-31.06,31.44,-61.60
166524,0.18,-8.33,5.75,0.04,0.32,-0.23,-24.66,35.74,-54.53
167597,-0.11,-8.71,4.24,0.09,-0.13,-0.03,-22.49,39.36,-47.53
168670,-1.55,-7.66,6.09,0.13,-0.10,0.05,-22.64,31.28,-51.96
169743,0.11,-7.79,6.69,0.05,-0.08,0.06,-31.22,27.59,-61.43
170816,0.29,-7.72,6.72,0.07,0.33,-0.07,-31.35,26.88,-61.72
171892,-0.07,-7.13,6.73,-0.08,0.09,-0.04,-32.42,26.28,-62.64
172965,0.19,-7.15,6.96,0.17,-0.61,0.18,-34.51,25.36,-63.58
174038,0.73,-7.89,6.21,-0.07,-0.00,0.10,-53.70,25.26,-68.47
175111,1.16,-8.13,5.84,-0.04,-0.09,-0.03,-56.08,26.32,-68.93
176227,0.62,-8.35,5.24,-0.04,-0.02,0.09,-57.95,28.78,-69.83
177300,0.27,-9.00,4.54,-0.02,0.11,-0.16,-54.44,31.31,-70.10
178373,2.29,-10.14,-0.70,-0.25,-2.33,0.33,-67.87,42.02,-67.90
179446,2.09,-13.47,-3.64,-0.87,-2.26,-1.90,-40.68,50.18,-64.41
180522,-3.54,-19.31,1.81,-6.85,2.46,0.17,-25.31,43.45,-58.84
181595,-9.60,-6.85,3.68,-1.84,0.59,-3.24,-55.67,65.00,-59.11
182668,6.94,-8.88,9.57,0.10,-4.70,-2.14,-86.48,52.00,-47.54
183741,-6.83,-12.60,-9.72,2.96,8.64,1.40,-20.62,38.04,-64.44
184814,-0.53,-7.42,-1.44,0.33,-0.65,2.67,-26.41,59.97,-18.05
185887,-1.76,-9.81,-1.29,0.19,-0.07,-0.01,-28.94,57.63,-18.06
186960,-1.26,-9.69,-1.58,-0.24,-0.24,0.01,-39.49,60.45,-13.49
188076,-0.39,-9.81,-0.02,0.42,0.89,0.23,-43.99,61.44,-22.65
189149,-0.76,-9.86,0.65,-0.01,0.00,-0.02,-45.13,60.82,-21.63
190225,-0.34,-10.01,0.73,-0.63,-1.55,-0.73,-45.09,60.64,-22.27
191298,-1.46,-9.24,-3.11,-0.66,0.12,0.46,-44.04,53.32,-12.93
192371,-1.16,-9.84,-1.71,0.07,-0.03,0.34,-60.74,40.78,-22.76
193444,-0.94,-9.24,3.52,-0.06,-0.19,0.24,-64.56,45.51,-20.68
194517,-0.66,-8.73,4.86,-0.03,0.03,-0.02,-59.54,51.70,-21.38
195590,-0.65,-8.70,4.40,-0.42,0.16,0.11,-60.70,49.84,-20.15
196663,-0.63,-9.07,4.01,0.05,0.03,-0.00,-60.89,48.89,-20.27
197736,-0.62,-9.03,4.13,0.01,-0.00,0.01,-60.25,49.17,-20.18
198855,-0.79,-8.91,4.35,0.01,0.02,0.00,-59.98,49.80,-20.91
199928,-0.78,-9.10,3.99,0.02,-0.00,-0.03,-60.52,48.28,-19.47
201001,-0.66,-9.11,3.93,0.00,0.00,-0.01,-61.25,48.04,-18.93
202073,-0.62,-9.08,3.97,0.02,0.00,-0.01,-60.48,48.26,-19.39
203146,-0.55,-9.08,4.05,0.01,0.01,0.00,-61.01,47.56,-19.69
204219,0.10,-8.49,4.88,-0.03,0.16,-0.02,-61.59,51.37,-20.51
205292,-1.12,-7.22,0.19,-0.41,-2.68,-0.10,-42.72,57.12,-19.06
206365,-2.77,-8.40,-3.83,-1.32,-1.27,0.07,-14.95,35.50,-40.22
207441,-4.72,-6.50,-6.11,-1.65,-2.70,-0.83,-70.05,63.14,-51.53
208514,-3.39,-9.10,-3.24,-0.14,-1.28,0.06,-61.52,36.16,-4.02
209630,0.95,-17.25,-0.14,0.93,-8.15,0.39,-43.72,33.48,1.05
210703,-0.73,-8.91,3.32,0.18,0.11,0.13,-26.28,56.07,-17.83
211776,-1.70,-7.72,2.14,-0.62,2.62,-0.65,-63.21,64.89,-10.92
212849,-0.75,-8.24,1.06,-0.29,-0.11,-0.34,-62.31,55.13,-2.06
213922,-3.27,-12.35,-1.49,4.58,4.95,4.43,-70.84,54.19,-7.32
214995,-0.04,-13.22,0.46,-0.10,-3.00,0.92,-76.24,38.10,-19.72
216068,-2.41,-10.94,-2.51,0.91,-4.61,-1.04,-28.25,35.60,-23.12
217144,-4.16,-16.55,-1.69,-3.21,-0.82,3.74,-22.04,41.54,-56.14
218217,-3.48,-9.83,-2.51,0.15,2.21,1.25,-17.51,43.25,-33.97
219290,0.90,-11.10,-1.49,0.80,1.65,-0.98,-37.15,45.38,-3.99
220363,-6.26,-12.77,2.69,-2.54,-3.40,1.64,-11.34,35.60,-51.37
221479,-1.97,-8.86,-1.10,0.40,-2.14,0.28,-9.27,40.51,-53.43
222552,-3.45,-9.88,2.48,1.00,0.89,-0.01,-58.73,39.37,-76.18
223624,-0.37,-9.65,-0.46,-5.54,1.40,-0.00,-82.24,46.30,-42.78
224697,-0.28,-5.36,-3.92,10.33,3.50,-1.86,-82.13,38.06,-29.23
225773,2.71,-2.19,-0.63,5.81,1.90,0.72,-79.33,49.11,-34.29
226846,-1.56,-13.61,-1.15,5.77,5.25,0.63,-66.73,51.14,-64.06
227919,-2.13,-9.64,-0.11,-2.30,-5.30,-0.54,-83.48,49.28,-38.80
228992,-3.25,-9.33,-1.74,-0.06,-0.31,-0.67,-66.28,37.90,-3.04
230065,-2.14,-9.20,0.83,0.49,-0.55,-0.19,-34.05,37.53,-5.14
231138,-1.41,-9.27,2.29,-0.12,-0.28,0.06,-29.79,39.30,-8.89
232255,-1.31,-9.40,2.60,0.05,-0.03,0.01,-22.27,36.85,-16.06
233328,-0.95,-9.44,3.36,0.11,-0.33,-0.13,-20.20,39.99,-19.67
234403,-0.23,-9.52,3.11,-0.13,0.28,-0.02,-21.38,40.46,-18.40
235476,-0.56,-9.47,3.20,-0.02,-0.11,0.11,-20.68,38.19,-18.36
236549,-4.04,-3.54,-1.27,0.52,-5.42,-2.63,-27.99,39.35,-13.20
237622,-4.17,3.10,12.04,-5.99,3.95,2.14,-27.01,29.64,-25.29
238695,-0.18,-3.94,-2.54,-5.39,0.39,-8.96,-24.51,36.14,-42.14
239768,0.34,-13.63,-2.60,-1.22,-0.74,-3.79,-44.99,49.62,-8.99
240841,0.66,-9.35,3.66,0.07,0.18,-0.16,-84.84,50.34,-15.87
241914,0.34,-9.56,3.38,-0.08,0.17,0.04,-87.94,48.90,-19.89
243033,0.96,-4.69,-0.27,0.98,3.29,4.52,-94.36,51.48,-21.72
244106,-0.25,-8.41,0.44,-0.37,1.77,-4.69,-85.34,57.48,-39.39
245179,2.68,1.61,2.14,3.07,0.38,-1.78,-91.52,40.76,-27.24
246252,-2.04,-9.21,1.06,-3.24,-0.46,-0.74,-35.40,30.47,-4.68
