Time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ
117769,0.70,-9.53,-0.04,0.29,-0.02,0.20,-31.69,42.37,-10.63
118842,0.15,-9.90,0.33,0.07,-0.04,-0.03,-31.79,41.99,-10.77
119913,-1.82,-8.97,1.76,-0.05,0.25,-0.52,-31.58,41.64,-10.29
120984,2.15,-7.15,6.53,0.08,-0.07,-0.05,-41.13,60.64,-21.05
122097,0.00,0.00,0.00,26.91,23.74,0.03,-41.54,61.15,-21.06
123167,18.96,0.03,0.00,-25.34,-8.76,-23.76,-35.06,60.20,-25.39
124238,8.86,0.03,0.00,24.71,-39.10,-37.84,-32.52,60.79,-37.09
125309,-15.91,-10.13,0.02,-36.91,23.77,28.46,-26.18,53.52,-41.96
126380,-1.82,5.48,0.02,25.96,-18.45,16.26,-25.31,51.32,-43.19
127453,31.21,0.03,0.00,20.02,-7.19,-28.45,-27.96,56.40,-36.17
128524,-13.77,3.95,0.03,8.76,-2.81,25.33,-28.85,57.38,-36.33
129595,3.36,-6.24,7.21,-0.02,-0.05,-0.02,-41.49,63.74,-27.26
130665,-15.03,0.03,0.00,-2.81,-19.39,-19.07,-42.58,64.12,-28.00
131736,3.65,-5.85,7.24,0.01,0.00,-0.01,-42.27,64.48,-27.84
132807,3.66,-5.83,7.32,0.02,0.02,-0.01,-42.79,64.50,-27.93
133921,-26.94,21.72,0.03,5.32,-3.44,-2.82,-35.05,62.42,-34.49
134992,2.65,-5.16,7.93,0.20,-0.12,0.26,-34.64,62.34,-35.03
136063,-4.61,0.04,0.00,34.40,11.26,26.88,-35.59,63.15,-34.93
137136,0.00,0.00,0.00,-7.61,3.87,0.00,-85.47,42.84,-26.56
138207,0.37,-9.32,3.08,0.24,-0.04,-0.11,-88.61,42.65,-36.33
139277,-2.35,-7.95,5.93,-0.01,-1.03,0.93,-81.54,55.55,-24.44
140348,3.56,-5.83,9.59,1.02,-0.84,0.58,-68.43,64.10,-22.51
141419,-3.06,-19.62,0.03,-39.72,4.38,-28.46,-69.58,64.66,-25.99
142490,1.57,-5.45,7.90,-0.05,0.06,-0.08,-75.68,60.71,-25.29
143560,1.56,-6.41,7.58,0.03,0.01,-0.01,-76.18,58.74,-22.77
144631,1.45,-7.29,6.97,-0.57,0.21,-0.18,-77.38,56.69,-20.26
145747,1.17,-7.98,5.83,0.02,-0.01,0.06,-76.45,55.50,-17.93
146818,1.12,-7.78,6.25,0.05,-0.02,0.03,-75.86,56.49,-17.26
147889,1.44,-7.71,6.27,0.03,-0.02,0.02,-75.23,57.22,-17.77
148959,1.25,-7.56,6.37,0.02,-0.00,0.01,-74.39,57.60,-17.58
150030,1.45,-7.48,6.33,0.01,0.05,-0.03,-74.55,57.80,-17.82
151101,6.98,9.80,23.35,0.00,0.00,0.00,-72.83,58.54,-17.70
152170,1.92,-6.10,7.48,0.16,-0.08,-0.03,-76.12,58.39,-21.34
153241,1.45,-6.50,7.49,0.10,0.09,0.13,-76.88,58.16,-23.06
154311,1.62,-6.93,6.88,-0.24,0.07,-0.12,-77.07,57.15,-20.87
155385,1.72,-6.99,7.00,-0.04,0.09,-0.09,-78.79,55.14,-20.40
156456,1.14,-7.41,6.36,0.05,-0.21,0.34,-80.01,54.08,-22.10
157570,1.03,-8.04,5.73,-0.00,-0.01,0.00,-79.48,53.79,-20.72
158640,1.06,-8.03,5.80,0.16,-0.12,-0.02,-78.59,54.47,-19.12
159711,1.20,-7.95,6.04,-0.02,0.02,-0.00,-77.65,55.03,-18.90
160782,1.33,-8.02,5.88,0.03,-0.01,0.01,-77.58,54.33,-19.39
161853,1.16,-6.92,7.02,0.07,-0.48,0.17,-73.98,59.57,-20.87
162923,-38.89,-0.03,0.03,-37.53,-19.70,10.95,-73.02,60.39,-20.75
163997,0.95,-8.34,5.22,-0.49,-0.25,0.32,-85.97,46.74,-29.03
165068,-29.09,-26.38,0.01,33.78,33.78,2.19,-84.48,46.84,-22.79
166138,1.19,-9.15,3.72,-0.45,0.21,-0.07,-78.30,50.28,-15.92
167209,-0.76,-10.03,-1.19,-0.17,-1.35,0.40,-75.36,42.68,-9.46
168322,0.43,-9.31,2.65,1.07,-0.35,-0.66,-68.69,51.81,-9.63
169393,2.40,-7.05,7.07,1.04,-0.15,-0.53,-72.32,59.09,-18.25
170464,0.99,-7.62,6.55,0.12,0.05,-0.14,-73.12,59.02,-20.08
171534,2.38,-7.19,5.15,0.17,0.51,0.43,-73.57,56.80,-17.07
172608,1.94,-7.17,6.69,-0.01,0.01,-0.00,-73.37,57.88,-19.22
173678,2.45,-7.22,6.45,-0.00,0.03,0.01,-73.79,56.65,-17.49
174749,2.47,-7.19,6.45,0.01,0.04,0.01,-74.55,56.83,-17.54
175820,2.48,-7.27,6.41,0.03,-0.03,0.04,-73.12,57.76,-17.04
176891,13.18,-9.52,0.02,9.07,-7.19,30.34,-72.84,57.37,-17.19
177961,2.39,-7.37,6.27,0.00,0.03,0.00,-73.06,57.09,-16.98
179032,2.43,-7.35,6.29,0.01,-0.01,0.04,-73.18,57.34,-17.23
180103,2.34,-7.39,6.42,-0.01,0.01,-0.02,-72.92,57.38,-17.20
181217,2.32,-7.36,6.45,-0.01,0.02,0.01,-73.02,57.02,-16.49
182290,2.35,-7.41,6.39,0.01,-0.00,-0.02,-73.12,56.91,-17.70
183361,2.37,-7.50,6.22,0.00,0.02,0.00,-73.69,56.96,-16.66
184432,2.30,-7.62,6.21,-0.01,0.03,0.01,-73.94,56.66,-17.26
185502,2.37,-7.40,6.31,0.06,-0.05,0.02,-73.40,56.59,-16.49
186573,2.23,-7.32,6.41,0.01,0.02,0.03,-73.03,57.42,-16.91
187644,2.91,-5.13,7.61,0.72,-0.47,0.86,-63.62,64.86,-22.60
188714,2.30,-6.33,7.48,-0.03,0.01,-0.02,-61.03,64.82,-20.04
189785,2.03,-6.40,7.44,-0.00,0.02,-0.01,-61.21,63.90,-18.90
190859,1.76,-6.91,7.00,0.01,-0.02,-0.03,-67.38,61.34,-18.17
191971,1.79,-6.84,7.08,0.01,0.02,0.00,-67.16,61.46,-18.85
193042,2.04,-6.87,6.91,-0.11,0.10,-0.15,-68.18,61.21,-18.08
194113,2.56,-5.75,7.56,0.32,0.13,-0.13,-74.09,59.81,-21.75
195183,2.43,-2.50,7.74,-0.07,-0.17,0.21,-79.82,57.37,-29.77
196254,-0.44,-10.30,-0.06,-0.39,-0.35,0.19,-73.81,43.80,-7.64
197325,0.58,-8.32,5.13,-0.19,-0.53,0.26,-67.92,59.11,-14.09
198395,0.34,-8.93,4.25,-0.05,0.09,-0.04,-74.66,53.76,-14.41
199466,0.40,-9.42,2.79,0.11,0.17,-0.07,-73.66,51.10,-11.02
200540,0.55,-9.04,4.09,0.18,-0.09,-0.05,-74.14,53.62,-12.95
201610,-1.81,-9.74,8.23,2.41,0.90,-0.82,-74.35,59.44,-22.74
202681,2.18,-6.04,2.07,-4.83,-2.05,0.17,-53.13,67.16,-35.25
203795,-1.30,-7.94,5.94,0.79,-0.01,-0.33,-44.75,61.27,-16.57
204866,0.62,-9.50,2.30,-0.24,-0.31,0.33,-54.34,50.99,-2.84
205937,-0.89,-11.11,0.19,-1.23,0.59,0.08,-80.44,41.26,-14.67
207008,-0.50,-9.26,-0.87,1.32,-0.54,-0.09,-43.79,41.83,1.51
208078,-1.42,-12.02,-1.45,-1.96,1.33,0.53,-45.57,44.29,0.56
209152,-0.14,-11.57,-0.50,-1.30,0.03,0.11,-57.61,44.42,1.81
210223,-0.68,-9.57,0.30,0.09,0.32,-0.29,-32.99,44.05,-6.09
211293,-1.70,-9.43,0.25,-0.25,-0.28,-0.01,-20.64,41.30,-16.16
212364,-1.46,-9.46,-1.13,-0.02,-0.07,0.04,-18.17,38.04,-18.61
213435,-1.29,-8.18,4.47,0.06,0.01,-0.20,-21.47,49.37,-21.50
214505,-0.65,-10.69,2.43,-1.90,1.46,-0.31,-83.63,52.84,-22.70
215618,0.14,-8.40,0.86,0.52,-0.65,-0.28,-74.35,42.93,-66.72
216689,2.06,-8.63,4.01,0.87,0.59,-0.08,-55.70,27.68,-75.05
217760,0.16,-3.67,9.54,-0.42,-2.49,0.79,-64.95,5.03,-52.66
218833,-0.81,-9.35,-2.31,1.06,-0.77,-0.34,-55.10,43.92,-72.08
219904,-0.26,-10.64,-1.90,-0.40,0.47,0.46,-63.50,42.03,-68.44
220975,1.58,-8.93,5.16,-0.43,0.32,0.55,-40.25,22.26,-69.38
222045,1.62,-6.47,7.17,-0.14,0.39,-0.66,-28.02,20.80,-63.48
223116,1.00,-8.46,5.35,-0.59,-0.45,0.34,-25.08,29.17,-62.60
224187,1.30,-10.03,2.32,0.89,1.87,-0.56,-65.90,35.69,-70.33
225258,-0.28,-8.35,3.77,-0.08,-0.71,-0.28,-17.90,38.13,-50.96
226328,1.34,-17.17,6.62,-0.02,1.91,-2.77,-16.98,41.44,-32.36
227445,0.23,-8.77,-1.83,-1.00,-0.98,1.36,-16.47,38.54,-42.69
228515,-1.13,-10.03,2.07,1.03,-0.90,0.59,-17.33,39.20,-45.67
229586,-1.31,-10.91,2.73,0.35,-1.51,-1.17,-59.34,46.54,-67.60
230657,-1.15,-7.28,4.94,-0.42,-0.07,0.09,-64.41,27.81,-69.51
231727,-0.24,-9.45,-0.79,0.59,-0.66,-0.68,-54.94,50.73,-69.09
232798,-1.20,-8.11,-3.21,0.31,-0.80,-0.29,-50.61,44.45,-61.12
233869,-0.02,-8.66,-2.86,0.54,2.79,-0.72,-30.25,45.40,-54.17
234940,4.38,-9.69,-0.33,0.52,0.99,0.10,-30.43,47.78,-19.12
236013,0.78,-10.93,-3.57,-2.60,0.78,-0.89,-35.65,34.13,-13.93
237084,0.20,-11.31,2.72,-0.55,-0.83,-0.32,-35.15,49.58,-23.25
238197,5.64,-19.35,19.43,5.92,0.86,-0.49,-30.52,50.06,-32.67
239268,-0.25,-7.05,11.24,-1.05,0.90,1.28,-41.82,70.71,-27.58
240338,-5.52,-1.69,9.97,0.03,-0.13,0.91,-63.55,68.53,-55.06
241409,-8.22,-5.49,6.98,1.30,-0.32,-0.96,-77.29,61.44,-77.62
242480,-5.63,-2.82,7.47,-0.08,4.09,-2.91,-70.61,6.75,-72.77
243550,1.56,-9.45,0.47,0.84,0.22,-0.39,-56.62,49.63,-3.87
244624,2.12,-9.68,-0.12,-0.36,-0.00,0.03,-51.21,53.24,-5.71
245695,0.73,-9.48,-0.18,0.23,-0.02,0.02,-49.14,51.34,-5.29
246765,2.12,-11.28,0.21,-1.31,1.97,0.78,-46.83,51.46,-6.39
247836,1.03,-10.09,0.30,1.40,-0.72,-0.25,-48.42,54.36,-12.85
248907,2.16,-5.66,7.52,0.80,0.34,0.14,-54.91,58.04,-39.55
249977,-1.17,-4.64,12.70,2.48,0.27,4.79,-48.54,55.41,-38.79
251091,4.91,-10.07,5.14,-0.76,-0.21,0.43,-73.40,25.93,-25.37
252161,-0.49,-13.84,-0.51,1.28,3.26,1.03,-51.86,46.20,-3.96
253232,-0.55,-10.95,-5.82,1.18,0.95,0.23,-28.09,39.36,-11.77
254306,0.39,-10.01,0.80,0.06,0.00,0.02,-43.00,58.24,-10.98
255376,1.90,-10.11,2.29,1.09,0.65,-0.27,-45.72,51.39,-12.53
256447,1.70,-6.74,-6.30,-2.47,1.07,1.37,-63.17,21.78,-12.34
